site_id,registry_id,bnrrm_site_name,bc_csr_site_name,region,waterbody,latitude,longitude,coordinate_source,coordinate_quality_tier,n_stations,n_stations_geocoded_before_pr_map_0,n_stations_geocoded_after_pr_map_0,n_reference,n_impacted_explicit,n_sampling_or_unknown,sediment_chem_rows
296,28500,28500,"HWY ADJACENT TO 2237 176 STREET, SURREY",,,49.042789,-122.735394,bc_csr_centroid,medium,0,0,0,0,0,0,0
297,16618,16618,"1500 HAULTAIN STREET, VICTORIA",,,48.436250,-123.339444,bc_csr_centroid,medium,0,0,0,0,0,0,0
298,5397,5397,PETRO-CANADA - 14811 - 108TH AVENUE,,,49.199000,-122.812028,bc_csr_centroid,medium,29,0,29,0,0,29,0
299,23291,23291,CPR ROW ADJ TO 876 VICTORIA ST,,,50.675544,-120.318378,bc_csr_centroid,medium,20,0,20,0,0,20,0
300,5384,5384,ECONOMY CARRIERS SPILL SITE,,,49.123639,-117.251722,bc_csr_centroid,medium,45,0,45,0,0,45,0
301,22003,22003,"32988 1ST AVE, MISSION",,,49.134044,-122.310058,bc_csr_centroid,medium,0,0,0,0,0,0,0
302,17205,17205,"555 ROBSON STREET, VANCOUVER",,,49.280750,-123.118278,bc_csr_centroid,medium,2,0,2,0,0,2,0
303,3185,3185,SHELL STATION (SHELBOURNE & MCKENZIE),,,48.468317,-123.332306,bc_csr_centroid,medium,0,0,0,0,0,0,0
304,23623,23623,PORTION OF HWY 16 ROADWAY ADJ SITE 3026,,,54.229011,-125.762886,bc_csr_centroid,medium,9,0,9,0,0,9,0
305,24247,24247,ZONE C TSAWWASSEN DRIVE AND FALCON WAY,,,49.046639,-123.103083,bc_csr_centroid,medium,0,0,0,0,0,0,0
306,25409,25409,CITY LAND AT 1601 QUEBEC ST.,,,49.271639,-123.102306,bc_csr_centroid,medium,7,0,7,0,0,7,0
307,17809,17809,"2420-2432 BEACON AVE, 9810/9812 4TH ST",,,48.649167,-123.399575,bc_csr_centroid,medium,0,0,0,0,0,0,0
308,25295,25295,GILGAN DRIVE AT 382 GOVERNMENT ST,,,54.228972,-125.763583,bc_csr_centroid,medium,9,0,9,0,0,9,0
309,19585,19585,"2696 SOOKE ROAD, LANGFORD",,,48.433181,-123.524533,bc_csr_centroid,medium,71,0,71,0,0,71,285
310,5891,5891,12851 NO 5 ROAD RICHMOND (SAFETY-KLEEN),,,49.121083,-123.092611,bc_csr_centroid,medium,0,0,0,0,0,0,0
311,25424,25424,1510 QUEBEC STREET AND 1405 MAIN STREET,,,49.272556,-123.100972,bc_csr_centroid,medium,0,0,0,0,0,0,0
312,1121,1121,FORMER SHELL BULK PLANT ASHCROFT,,,50.730306,-121.272667,bc_csr_centroid,medium,0,0,0,0,0,0,0
313,21355,21355,"8684 AND 8694 RIVER ROAD, DELTA",,,49.150000,-122.981944,bc_csr_centroid,medium,1,0,1,0,0,1,0
314,13009,13009,"6965 KING GEORGE HIGHWAY, SURREY",,,49.130361,-122.847028,bc_csr_centroid,medium,1,0,1,0,0,1,0
315,18959,18959,"11445 124TH STREET, SURREY",,,49.210764,-122.879097,bc_csr_centroid,medium,0,0,0,0,0,0,0
316,3218,3218,HARTWHEEL PETRO-CANADA,,,53.978814,-122.771169,bc_csr_centroid,medium,11,0,11,0,0,11,0
317,16938,16938,PART OF 2500 BLOCK COLLINGWOOD ST.,,,49.264289,-123.181503,bc_csr_centroid,medium,8,0,8,0,0,8,0
318,23220,23220,13685 102 AVE SURREY,,,49.188111,-122.843750,bc_csr_centroid,medium,0,0,0,0,0,0,0
319,14064,14064,23402/23450 FISHERMAN RD &23552 RIVER RD,,,49.187944,-122.571778,bc_csr_centroid,medium,1,0,1,0,0,1,1
320,15315,15315,"816 TO 862 CLEMENT AVENUE, KELOWNA",,,49.893806,-119.485750,bc_csr_centroid,medium,97,0,97,0,0,97,4
321,21767,21767,"ROW ADJACENT TO 2626 BEVAN AVE, SIDNEY",,,48.647667,-123.395417,bc_csr_centroid,medium,0,0,0,0,0,0,0
322,18067,18067,"350 PRIDEAUX STREET, NANAIMO",,,49.163167,-123.942278,bc_csr_centroid,medium,0,0,0,0,0,0,0
323,14836,14836,CROWN LAND ADJACENT TO 297 BURTON AVE,,,49.451769,-120.514114,bc_csr_centroid,medium,0,0,0,0,0,0,0
324,18545,18545,ROADWAY AT 350 PRIDEAUX AND 404 FRANKLYN,,,49.162931,-123.942306,bc_csr_centroid,medium,0,0,0,0,0,0,0
325,18628,18628,BURTON AVE AND ASPEN ST ADJ 297 BURTON,,,49.453833,-120.509917,bc_csr_centroid,medium,0,0,0,0,0,0,0
326,19319,19319,"283 BURTON AVENUE, PRINCETON, BC",,,49.453944,-120.509917,bc_csr_centroid,medium,0,0,0,0,0,0,0
327,2277,2277,ESSO BULK PLANT - PRINCETON,,,49.453889,-120.510361,bc_csr_centroid,medium,0,0,0,0,0,0,0
328,19080,19080,"1869 WILLIAM STREET, VANCOUVER",,,49.274111,-123.065986,bc_csr_centroid,medium,0,0,0,0,0,0,0
329,11991,11991,"177 WEST 3RD STREET, NORTH VANCOUVER",,,49.314383,-123.079817,bc_csr_centroid,medium,26,0,26,0,0,26,0
330,13571,13571,"6260 EAST BOULEVARD, VANCOUVER",,,49.229361,-123.154833,bc_csr_centroid,medium,0,0,0,0,0,0,0
331,16130,16130,"7388 KINGSWAY ST, BURNABY",,,49.218611,-122.950556,bc_csr_centroid,medium,0,0,0,0,0,0,0
332,19977,19977,"3215 KINGSWAY, VANCOUVER",,,49.235139,-123.037222,bc_csr_centroid,medium,0,0,0,0,0,0,0
333,26955,26955,LANEWAY ADJACENT TO 14488 103A AVE,,,49.190511,-122.820419,bc_csr_centroid,medium,0,0,0,0,0,0,0
334,11059,11059,WINDERMERE SERVICE STATION,,,50.489750,-115.987806,bc_csr_centroid,medium,1,0,1,0,0,1,0
335,19869,19869,"PORTION OF VERSATILE DRIVE, LOCATED ADJA",,,50.658364,-120.394650,bc_csr_centroid,medium,0,0,0,0,0,0,0
336,18501,18501,FRASER ROAD AT 8400 RIVER ROAD DELTA,,,49.145889,-122.986944,bc_csr_centroid,medium,0,0,0,0,0,0,0
337,16690,16690,DITCH ALONG HIGHWAY 97 SOUTH,,,55.643056,-122.216111,bc_csr_centroid,medium,0,0,0,0,0,0,0
338,19170,19170,"ADJACENT TO 9582/9572 120TH ST, SURREY",,,49.176833,-122.890028,bc_csr_centroid,medium,0,0,0,0,0,0,0
339,9695,9695,30 COKATO ROAD,,,49.493333,-115.063333,bc_csr_centroid,medium,37,0,37,0,0,37,0
340,27113,27113,819-823 BRUNETTE AVE,,,49.236167,-122.874389,bc_csr_centroid,medium,0,0,0,0,0,0,0
341,0445,0445,"WESTERN STEEL - MITCHELL ISLAND, RCHMD",,,49.203333,-123.113333,bc_csr_centroid,medium,0,0,0,0,0,0,0
342,23140,23140,2008 LIKELY RD.,,,52.200328,-121.957322,bc_csr_centroid,medium,1,0,1,0,0,1,0
343,0411,0411,7477 6TH STREET & 7874 17TH AVENUE,,,49.224053,-122.934725,bc_csr_centroid,medium,40,0,40,0,0,40,84
344,9488,9488,FORT NELSON SULPHUR PELLETIZING PLANT,,,58.653722,-122.699028,bc_csr_centroid,medium,0,0,0,0,0,0,0
345,6672,6672,HISTORIC LANDFILL - SHAWNIGAN LAKE,,,48.655556,-123.621389,bc_csr_centroid,medium,0,0,0,0,0,0,0
